# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 1. Europäischen Parlament aus der Bundesrepublik Deutschland (10. Juni 1979)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültig;Gültig;SPD;CDU;CSU;FDP;DKP;EAP;C.B.V.;Zentrum;DIE GRÜNEN
06 1 71;Bergstraße;172384;115205;1147;114058;49630;54571;0;6075;412;162;170;152;2886
06 1 72;Darmstadt-Dieburg;167698;110346;1239;109107;51864;46382;0;6478;706;141;167;91;3278
06 1 73;Groß-Gerau;152200;101578;1100;100478;52705;37862;0;5556;641;125;176;73;3340
06 1 76;Hochtaunuskreis;140968;94820;568;94252;33572;48216;0;8581;370;121;174;76;3142
06 1 77;Lahn-Dill-Kreis;228088;142765;993;141772;67342;62314;0;8037;483;151;209;63;3173
06 1 78;Limburg-Weilburg;111541;75775;886;74889;31037;38793;0;2985;214;65;135;117;1543
06 1 79;Main-Kinzig-Kreis;255091;166150;1494;164656;75526;74557;0;8925;999;260;258;163;3968
06 1 80;Main-Taunus-Kreis;137535;92221;603;91618;33593;46539;0;7785;286;110;185;104;3016
06 1 81;Odenwaldkreis;60103;40077;587;39490;19915;16315;0;2114;158;48;69;28;843
06 1 82;Offenbach;204359;135723;1028;134695;56191;64308;0;8991;664;175;189;142;4035
06 1 83;Rheingau- Taunus-Kreis;113201;74397;533;73864;29316;36927;0;5214;187;96;154;94;1876
06 1 84;Vogelsbergkreis;84181;52667;372;52295;24309;23537;0;3125;167;44;76;40;997
06 1 85;Wetteraukreis;181807;121040;885;120155;56791;52781;0;7157;417;152;165;83;2609
06 2 12;Kassel, Stadt;147206;103491;578;102913;51702;39483;0;6865;644;69;107;43;4000
06 2 72;Fulda;138060;102358;910;101448;25125;70264;0;3435;270;123;217;202;1812
06 2 73;Hersfeld-Rotenburg;99268;72134;658;71476;37519;28920;0;3182;211;55;80;18;1491
06 2 74;Kassel;162262;121623;753;120870;69983;41084;0;6389;436;79;103;61;2735
06 2 75;Marburg-Biedenkopf;158019;101785;674;101111;46114;44958;0;5109;1280;92;140;72;3346
06 2 76;Schwalm-Eder-Kreis;134612;100542;775;99767;53633;38541;0;4704;384;94;97;31;2283
06 2 77;Waldeck-Frankenberg;112917;73415;396;73019;31936;33048;0;5932;210;82;109;55;1647
06 2 78;Werra-Meißner- Kreis;91232;66869;570;66299;35281;25762;0;3386;259;75;65;20;1451
906;Hessen;3956722;2630503;20623;2609880;1184069;1167974;0;161714;12928;3032;3886;2159;74118

07 1 11;Koblenz, Stadt;87482;63555;755;62800;25657;31260;0;3796;142;63;92;84;1706
07 1 31;Ahrweiler;82323;64290;1131;63159;16178;41944;0;3142;167;77;139;106;1406
07 1 32;Altenkirchen(Westerwald);90448;72888;1391;71497;27686;36799;0;4953;171;102;113;76;1597
07 1 33;Bad Kreuznach;109988;86465;1797;84668;38761;35636;0;7672;340;172;150;110;1827
07 1 34;Birkenfeld;69285;51197;1102;50095;24547;19530;0;4408;422;112;84;37;955
07 1 35;Cochem-Zell;47823;39632;1170;38462;9190;26582;0;1606;106;63;119;98;698
07 1 37;Mayen-Koblenz;142270;112969;2090;110879;45303;57670;0;4737;287;139;193;140;2410
07 1 38;Neuwied;116868;92169;1525;90644;38642;43823;0;5301;255;103;155;127;2238
07 1 40;Rhein-Hunsrück-Kreis;66994;55013;975;54038;19224;27623;0;5720;124;67;83;71;1126
07 1 41;Rhein-Lahn-Kreis;88932;69549;1339;68210;33100;28553;0;4298;198;114;98;53;1796
07 1 43;Westerwaldkreis;123098;99103;2341;96762;37065;51603;0;5132;323;175;197;138;2129
07 2 11;Trier, Stadt;74718;50650;717;49933;19614;25718;0;2357;126;56;64;177;1821
07 2 31;Bernkastel-Wittlich;81685;63756;1874;61882;16731;38903;0;4226;195;144;134;127;1422
07 2 32;Bitburg-Prüm;69063;55948;1786;54162;14367;35263;0;2611;149;169;181;138;1284
07 2 33;Daun;43375;35060;999;34061;8059;23487;0;1315;92;81;66;80;881
07 2 35;Trier-Saarburg;91367;75433;2298;73135;24432;43308;0;2798;221;163;174;162;1877
07 3 11;Frankenthal (Pfalz), Stadt;32165;23990;481;23509;10961;10393;0;1412;124;35;24;19;541
07 3 12;Kaiserslautern, Stadt;74900;50810;768;50042;24316;20452;0;3490;225;94;72;83;1310
07 3 13;Landau in der Pfalz, Stadt;28173;20649;303;20346;7992;9723;0;1680;75;33;34;13;796
07 3 14;Ludwigshafen am Rhein, Stadt;117099;81718;1176;80542;42768;31055;0;3981;436;141;131;53;1977
07 3 15;Mainz, Stadt;120952;89624;1156;88468;39059;38662;0;6957;626;154;141;102;2767
07 3 16;Neustadt an der Weinstraße, Stadt;39714;31585;482;31103;11939;15844;0;2036;210;35;54;26;959
07 3 17;Pirmasens, Stadt;41368;29164;607;28557;13766;12892;0;1120;131;35;33;19;561
07 3 18;Speyer, Stadt;31825;23424;389;23035;10398;10354;0;1279;237;23;38;22;684
07 3 19;Worms, Stadt;56557;38665;322;38343;18869;15906;0;2201;320;73;46;33;895
07 3 20;Zweibrücken, Stadt;28072;19832;388;19444;9774;7798;0;1274;75;34;39;18;432
07 3 31;Alzey-Worms;72087;59779;1511;58268;28343;23212;0;4877;163;148;129;66;1330
07 3 32;Bad Dürkheim;89124;72914;1472;71442;32398;31788;0;4767;351;153;113;54;1818
07 3 33;Donnersbergkreis;49741;41076;1058;40018;20479;14752;0;3532;177;90;62;34;892
07 3 34;Germersheim;70052;57510;1317;56193;20635;28474;0;4510;160;167;129;54;2064
07 3 35;Kaiserslautern;72 744;59832;1 508;58324;26075;26974;0;3458;211;159;135;66;1246
07 3 36;Kusel;59628;47312;1367;45945;25961;15655;0;2669;399;82;93;87;999
07 3 37;Südliche Weinstraße;71757;60598;1684;58914;20743;31392;0;4801;256;119;108;49;1446
07 3 38;Ludwigshafen;92430;76406;1563;74843;32501;35918;0;4171;301;125;114;47;1666
07 3 39;Mainz-Bingen;115983;93524;2169;91355;38687;41921;0;7800;430;185;155;80;2097
07 3 40;Pirmasens;76384;64413;2155;62258;22043;35175;0;3236;217;141;148;68;1230
907;Rheinland-Pfalz;2726474;2130502;45166;2085336;856263;1026042;0;133323;8442;3826;3840;2717;50883

08 1 11;Stuttgart, Landeshauptstadt;382085;240212;1491;238721;95652;102028;0;27299;1294;234;299;152;11763
08 1 15;Böblingen;193306;115757;797;114960;41595;55544;0;11612;281;158;166;69;5535
08 1 16;Esslingen;299242;182750;1282;181468;65626;88681;0;17331;579;190;272;111;8678
08 1 17;Göppingen;158046;94800;709;94091;35462;45745;0;8366;310;95;126;64;3923
08 1 18;Ludwigsburg;282282;171 282;1246;170036;64687;79423;0;17171;462;185;211;90;7807
08 1 19;Rems-Murr-Kreis;238649;133474;890;132584;49174;63035;0;13348;455;177;171;74;6150
08 1 21;Heilbronn, Stadt;76387;46732;407;46325;19990;19767;0;4529;140;49;36;26;1788
08 1 25;Heilbronn;164886;98793;898;97895;35982;48933;0;8898;230;85;113;65;3589
08 1 26;Hohenlohekreis;58796;34163;242;33921;9793;19252;0;3414;74;48;52;23;1265
08 1 27;Schwäbisch Hall;107954;58709;388;58321;20166;29821;0;5613;216;68;97;24;2316
08 1 28;Main-Tauber-Kreis;90862;55627;512;55115;14192;35328;0;3395;145;62;73;59;1861
08 1 35;Heidenheim;88761;55115;364;54751;21839;26475;0;3905;251;64;56;17;2144
08 1 36;Ostalbkreis;191393;117715;834;116881;36764;68878;0;6836;292;93;156;115;3747
08 2 11;Baden-Baden, Stadt;38597;23598;200;23398;7221;12946;0;2002;82;10;52;26;1059
08 2 12;Karlsruhe, Stadt;192150;114347;934;113413;43296;54493;0;10374;476;127;149;80;4418
08 2 15;Karlsruhe;250648;150565;2306;148259;50818;83364;0;8820;486;186;181;135;4269
08 2 16;Rastatt;137973;77709;1014;76695;24051;45522;0;4209;196;75;95;84;2463
08 2 21;Heidelberg, Stadt;83917;52405;363;52042;19388;24870;0;4356;236;35;77;31;3049
08 2 22;Mannheim, Universitätsstadt;206351;123510;881;122629;59384;50323;0;7603;1109;178;148;86;3798
08 2 25;Neckar-Odenwald-Kreis;93441;57273;773;56500;16972;34209;0;3193;117;57;94;68;1790
08 2 26;Rhein-Neckar-Kreis;322720;210651;2601;208050;80786;102381;0;16428;756;207;240;146;7106
08 2 31;Pforzheim, Stadt;75077;45142;408;44734;16844;21413;0;4094;158;38;59;25;2103
08 2 35;Calw;83133;45081;325;44756;13851;24019;0;3975;114;62;60;21;2654
08 2 36;Enzkreis;108971;61316;623;60693;23786;28225;0;5387;181;66;78;42;2928
08 2 37;Freudenstadt;68853;38295;304;37991;11154;22168;0;2916;93;46;59;25;1530
08 3 11;Freiburg im Breisgau, Stadt;116 604;71064;453;70611;25676;30344;0;6594;372;54;133;134;7304
08 3 15;Breisgau-Hochschwarzwald;132112;79515;572;78943;22873;42219;0;7184;185;81;194;112;6095
08 3 16;Emmendingen;90380;50797;560;50237;17707;24423;0;3946;184;44;123;51;3759
08 3 17;Ortenaukreis;249842;138460;1824;136636;40877;80116;0;8867;436;174;283;271;5612
08 3 25;Rottweil;89547;51375;569;50806;14646;30510;0;3408;86;68;88;117;1883
08 3 26;Schwarzwald-Baar-Kreis;134012;73297;663;72634;23566;39536;0;5933;190;82;150;79;3098
08 3 27;Tuttlingen;76223;45132;341;44791;12472;27658;0;2827;171;65;82;72;1444
08 3 35;Konstanz;155249;85193;998;84195;27368;45236;0;6472;299;139;232;174;4275
08 3 36;Lörrach;131995;71868;741;71127;26856;32808;0;5789;277;76;164;77;5080
08 3 37;Waldshut;96682;51799;535;51264;14389;29683;0;3611;141;104;144;131;3061
08 4 15;Reutlingen;158895;89168;734;88434;28943;45614;0;8308;401;128;165;44;4831
08 4 16;Tübingen;103200;59213;441;58772;19338;28417;0;5444;337;86;94;76;4980
08 4 17;Zollernalbkreis;120847;62450;458;61992;18261;37373;0;3590;135;118;124;72;2319
08 4 21;Ulm, Universitätsstadt;68236;42133;289;41844;16299;19705;0;3462;160;43;31;30;2114
08 4 25;Alb-Donau-Kreis;107207;64666;514;64152;17672;40216;0;3678;178;81;92;54;2181
