# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 4. Europäischen Parlament aus der Bundesrepublik Deutschland (12. Juni 1994)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;GRÜNE;CSU;REP;F.D.P.;ÖDP;BP;CM;LIGA;Solidarität;BSA;APD;BfB;Familie;DSU;GRAUE;NATURGESETZ;Autonome;NPD;FORUM;PBC;PASS;PDS;PEAD;STATT Partei
05 9 15;Hamm, Stadt;131902;78284;888;77396;33921;29192;6415;0;2533;2197;253;49;100;30;43;6;270;452;0;31;656;123;47;142;29;86;92;369;16;344
05 9 16;Herne, Stadt;130606;71290;723;70567;39272;17838;5989;0;2857;1439;101;41;132;18;55;12;362;381;0;21;615;128;74;247;29;105;115;486;34;216
05 9 54;Ennepe-Ruhr-Kreis;270311;166714;1698;165016;80427;46729;18181;0;4889;7065;462;147;302;89;71;22;816;1171;0;52;1370;259;178;361;96;379;256;1050;43;601
05 9 58;Hochsauerlandkreis;208801;130878;1388;129490;41271;67104;9176;0;2919;4422;435;102;371;74;40;11;524;811;0;48;708;171;149;150;48;73;126;360;27;370
05 9 62;Märkischer Kreis;325755;185227;2155;183072;71292;69948;15766;0;8008;8122;739;189;479;148;125;19;851;1513;0;86;1596;381;160;471;104;863;283;838;77;1014
05 9 66;Olpe;98629;61454;609;60845;17351;34864;3982;0;994;1775;158;49;119;37;19;4;172;307;0;27;295;80;35;72;17;59;54;151;17;207
05 9 70;Siegen-Wittgenstein;219992;131466;1456;130010;53173;46301;12066;0;4546;5946;756;173;484;131;67;20;601;1522;0;69;732;179;114;266;74;1390;165;719;23;493
05 9 74;Soest;215303;133001;1492;131509;47463;57982;12094;0;2722;5651;461;117;418;63;78;25;491;805;0;44;1076;336;140;291;62;106;150;457;40;437
05 9 78;Unna;308207;191011;2055;188956;93079;57165;18829;0;5745;5882;544;159;307;66;99;22;935;1102;0;56;1468;365;127;541;80;200;271;1055;59;800
905;Nordrhein-Westfalen;13105149;7798898;83586;7715312;3092525;2853275;860861;0;209224;333144;29990;6754;14319;3784;4523;1146;31073;57395;0;2908;68007;13966;8645;15795;4494;12819;9364;48911;2228;30162

06 4 11;Darmstadt, Stadt;100179;56910;986;55924;17776;17787;11192;0;1711;3357;345;83;91;34;20;25;330;704;0;24;496;153;103;233;82;240;115;770;11;242
06 4 12;Frankfurt am Main, Stadt;394917;219352;2988;216364;60188;78357;38644;0;11856;9878;1089;321;332;105;87;78;1203;3698;0;132;2298;708;457;736;337;440;459;3901;77;983
06 4 13;Offenbach am Main, Stadt;73717;38330;592;37738;12237;13893;4883;0;2704;1531;131;70;46;33;16;11;220;469;0;25;348;119;67;110;30;36;89;505;7;158
06 4 14;Wiesbaden, Landeshauptstadt;189928;106158;1542;104616;31927;37929;15438;0;6042;5660;507;195;212;67;100;28;623;2019;0;66;916;265;140;252;96;343;173;942;30;646
06 4 31;Bergstrasse;193374;110482;2190;108292;36771;43166;11814;0;5670;4655;436;171;257;149;38;36;780;1200;0;56;688;256;137;372;72;280;184;549;17;538
06 4 32;Darmstadt-Dieburg;198316;116142;2604;113538;41451;38315;15560;0;4189;5787;726;199;219;116;54;28;1011;1423;0;72;793;415;102;751;113;569;233;853;45;514
06 4 33;Groß-Gerau;166969;95312;1852;93460;37515;30283;11722;0;4208;3597;418;168;142;56;45;29;851;1068;0;50;854;317;134;287;86;236;212;737;39;406
06 4 34;Hochtaunuskreis;161643;97953;1311;96642;23907;41068;13087;0;3830;7113;624;163;181;91;39;24;694;2847;0;55;658;331;92;253;87;182;152;634;18;512
06 4 35;Main-Kinzig-Kreis;287653;153957;2939;151018;51677;57737;16649;0;8508;5983;711;325;367;152;76;48;1279;1974;0;87;1066;506;190;857;130;381;322;1196;41;756
06 4 36;Main-Taunus-Kreis;156465;95441;1237;94204;23434;40609;12122;0;3963;6023;580;199;198;97;52;22;713;3153;0;45;685;335;119;329;107;136;162;629;24;468
06 4 37;Odenwaldkreis;70241;40175;1186;38989;16499;12679;4073;0;1856;1532;199;80;82;45;24;16;270;460;0;26;185;107;32;151;24;205;71;212;16;145
06 4 38;Offenbach;230945;134876;2525;132351;37981;55201;17493;0;6045;6259;1180;254;212;108;52;35;1063;2020;0;80;1072;507;134;334;88;219;261;1040;31;682
06 4 39;Rheingau-Taunus-Kreis;133026;74154;1152;73002;22045;29272;9309;0;3518;4146;343;128;124;48;27;19;538;1352;0;45;432;203;89;184;54;179;97;405;14;431
06 4 40;Wetteraukreis;207164;113319;2157;111162;40405;41244;12009;0;4853;5234;508;171;212;91;42;22;857;1609;0;73;623;347;100;797;111;475;185;676;22;496
06 5 31;Gießen;183379;104510;1978;102532;37349;34242;13563;0;4929;5475;572;133;226;249;40;44;745;1488;0;40;579;278;119;367;109;393;188;930;22;452
06 5 32;Lahn-Dill-Kreis;191781;96163;1415;94748;36965;32339;8482;0;5214;4121;444;152;463;255;33;30;732;1307;0;76;554;254;83;976;64;1087;192;517;19;389
06 5 33;Limburg-Weilburg;126266;70860;1313;69547;24191;31794;5385;0;2263;2249;366;77;141;46;32;18;690;576;0;32;384;190;66;245;49;103;108;293;9;240
06 5 34;Marburg-Biedenkopf;181999;100663;1230;99433;36318;33394;14103;0;5018;3772;503;137;328;181;34;46;598;960;0;46;531;230;161;255;143;829;161;1337;29;319
06 5 35;Vogelsbergkreis;91154;48275;926;47349;18601;17463;3902;0;2743;2110;217;66;92;56;36;22;333;411;0;38;211;104;26;142;26;167;77;206;16;284
06 6 11;Kassel, Stadt;146282;78468;1071;77397;28630;25484;12882;0;2298;3468;256;56;121;50;16;23;371;810;0;39;519;185;92;192;96;232;137;1105;3;332
06 6 31;Fulda;156492;95281;1648;93633;21003;51985;7635;0;4405;2984;393;201;523;111;35;21;715;1002;0;69;557;283;44;210;77;312;185;404;25;454
06 6 32;Hersfeld-Rotenburg;103158;60043;1280;58763;27496;19128;4313;0;2629;1908;208;75;104;55;19;20;297;659;0;43;288;116;47;359;46;244;96;293;7;313
06 6 33;Kassel;187616;108687;1737;106950;53250;31261;10702;0;2680;4155;305;94;159;68;27;25;773;808;0;69;550;227;87;204;82;234;158;642;20;370
06 6 34;Schwalm-Eder-Kreis;147619;89898;1624;88274;43441;25800;7337;0;3778;3926;241;90;149;144;21;22;554;663;0;60;492;171;49;229;55;201;116;416;14;305
06 6 35;Waldeck-Frankenberg;127582;69449;969;68480;27107;25108;5482;0;2723;4087;798;88;174;48;26;16;379;706;0;47;372;110;37;283;31;221;105;297;10;225
06 6 36;Werra-Meißner-Kreis;93052;51198;905;50293;24474;15833;4084;0;1500;2184;127;51;77;27;6;19;261;431;0;37;225;154;37;114;34;92;86;267;7;166
906;Hessen;4300917;2426056;41357;2384699;832638;881371;291865;0;109133;111194;12227;3747;5232;2482;997;727;16880;33817;0;1432;16376;6871;2744;9222;2229;8036;4324;19756;573;10826

