# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 3. Europäischen Parlament aus der Bundesrepublik Deutschland (18. Juni 1989)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;CDU;SPD;CSU;GRÜNE;F.D.P.;ZENTRUM;ÖDP;Mündige Bürger;BP;BSA;LIGA;CM;DKP;ÖKO-UNION;DVU;REP;FAP;ARB.;HP;MLPD;Bewußtsein;Patrioten
06 4 31;Bergstrasse;189461;115707;1630;114077;41709;44831;0;10040;5310;188;770;147;207;36;134;196;295;216;1879;7762;80;48;49;31;83;66
06 4 32;Darmstadt-Dieburg;191309;116139;1773;114366;35796;47931;0;12883;6165;134;679;156;259;34;107;211;466;239;2239;6612;105;46;72;52;109;71
06 4 33;Groß-Gerau;164345;100196;1392;98804;27793;44803;0;11001;4137;108;575;131;208;34;95;119;417;214;2311;6498;101;30;48;38;80;63
06 4 34;Hochtaunuskreis;159005;99916;775;99141;39568;30140;0;10455;9049;125;503;148;199;21;85;149;200;235;1874;6043;66;54;33;18;122;54
06 4 35;Main-Kinzig-Kreis;276477;161299;1933;159366;54588;63149;0;14111;7230;280;1070;243;355;52;194;258;724;392;5412;10782;156;62;54;31;148;75
06 4 36;Main-Taunus-Kreis;154845;97675;827;96848;38971;29941;0;10188;7657;132;492;127;211;15;81;156;167;209;1659;6477;108;31;41;17;131;37
06 4 37;Odenwaldkreis;66544;42127;852;41275;12089;19227;0;3641;1682;34;173;51;86;11;36;53;78;91;1014;2867;39;14;12;16;33;28
06 4 38;Offenbach;227236;136921;1656;135265;51750;46578;0;14893;7734;174;660;175;348;29;100;191;387;296;2472;8976;159;38;59;27;159;60
06 4 39;Rheingau-Taunus-Kreis;128376;77896;914;76982;27354;27962;0;7940;4866;76;496;70;122;16;55;69;88;120;1321;6208;56;20;26;10;74;33
06 4 40;Wetteraukreis;198050;119509;1423;118086;38966;48387;0;9669;6899;135;623;159;232;29;110;248;283;264;4070;7664;85;48;30;25;101;59
06 5 31;Gießen;176609;107973;1166;106807;31947;44004;0;11983;5972;129;429;118;180;37;212;205;332;230;2450;8271;83;25;47;28;80;45
06 5 32;Lahn-Dill-Kreis;185225;100292;909;99383;30462;43341;0;7265;5336;120;377;100;186;39;272;364;217;212;3198;7619;86;25;30;19;67;48
06 5 33;Limburg-Weilburg;120696;73012;1086;71926;29718;29030;0;4488;2550;121;176;72;117;14;57;100;131;123;1530;3506;54;18;19;11;39;52
06 5 34;Marburg-Biedenkopf;176799;104929;933;103996;32322;42923;0;12508;4705;113;611;132;187;49;205;222;533;198;2762;6218;76;28;40;39;65;60
06 5 35;Vogelsbergkreis;87446;51991;622;51369;16240;22469;0;3237;2974;78;178;47;109;14;63;72;118;108;1955;3527;47;17;18;9;31;58
06 6 11;Kassel, Stadt;145733;86365;706;85659;22956;38413;0;10927;5251;71;260;96;87;40;56;93;341;147;1425;5234;32;11;34;80;88;17
06 6 31;Fulda;149437;95490;1438;94052;50829;24066;0;5264;3557;269;569;128;303;26;158;246;255;250;2294;5535;97;41;34;10;60;61
06 6 32;Hersfeld-Rotenburg;100610;62673;704;61969;18341;30563;0;4155;2315;64;330;70;119;12;52;84;102;124;1623;3848;57;21;17;6;28;38
06 6 33;Kassel;181208;115979;984;114995;27103;64826;0;9274;4982;77;321;115;135;33;92;148;224;201;1456;5754;59;28;34;27;69;37
06 6 34;Schwalm-Eder-Kreis;142257;93303;923;92380;23609;49732;0;6209;4378;111;327;63;133;28;125;113;168;160;1964;5057;54;25;25;18;37;44
06 6 35;Waldeck-Frankenberg;120787;71505;578;70927;23073;30439;0;4391;4772;74;821;83;126;25;101;110;109;153;1771;4672;60;23;25;5;41;53
06 6 36;Werra-Meißner-Kreis;91933;57691;640;57051;15628;29668;0;3906;2966;45;154;46;72;20;38;73;153;109;1239;2787;57;15;19;7;24;25
906;Hessen;4220919;2539177;27792;2511385;835155;1017123;0;248145;137948;3104;12662;3057;4765;788;2744;3947;7555;5029;58037;163172;2047;871;998;698;2192;1348

07 1 11;Koblenz, Stadt;87089;61486;796;60690;24631;23750;0;4802;3656;86;444;75;76;12;34;63;82;104;639;2117;21;12;17;12;30;27
07 1 31;Ahrweiler;89869;68548;1356;67192;35746;18951;0;4116;4211;116;737;76;87;9;52;119;45;144;545;2105;32;14;18;10;36;23
07 1 32;Altenkirchen(Westerwald);95759;76117;1477;74640;31284;30847;0;4259;4366;105;251;89;84;11;124;138;80;124;594;2135;47;18;20;9;29;26
07 1 33;Bad Kreuznach;115352;89508;1803;87705;28991;39752;0;6438;6025;87;429;121;98;15;60;121;138;146;1591;3440;52;26;25;9;58;83
07 1 34;Birkenfeld;69513;52098;1009;51089;16474;24424;0;2995;3675;46;192;74;46;7;22;39;77;119;698;2012;74;20;28;6;31;30
07 1 35;Cochem-Zell;49156;41482;1539;39943;22396;10944;0;2353;1840;82;183;55;70;6;23;79;37;60;396;1340;22;7;10;2;14;24
07 1 37;Mayen-Koblenz;150478;116155;2242;113913;49792;46166;0;7032;5271;172;597;104;106;19;59;110;101;163;921;3100;46;32;24;5;55;38
07 1 38;Neuwied;126184;96065;1569;94496;37562;40073;0;6187;5225;169;456;87;118;12;73;114;91;125;965;3020;58;19;35;12;55;40
07 1 40;Rhein-Hunsrück-Kreis;71536;58431;1147;57284;24320;21592;0;3953;4440;61;349;75;71;3;40;98;58;85;516;1524;21;9;14;10;23;22
07 1 41;Rhein-Lahn-Kreis;94011;73013;1330;71683;25094;33039;0;4653;3867;77;502;77;96;7;53;98;74;131;981;2755;38;17;26;12;44;42
07 1 43;Westerwaldkreis;135374;107509;2320;105189;45535;41135;0;6590;5488;179;415;135;143;8;89;180;124;193;1114;3586;84;28;36;16;53;58
07 2 11;Trier, Stadt;76554;52252;775;51477;21032;20209;0;5025;2391;58;255;55;49;16;30;68;56;85;580;1447;17;7;25;9;43;20
07 2 31;Bernkastel-Wittlich;85504;67389;2377;65012;31334;20123;0;4305;4282;138;237;101;103;18;60;101;70;143;683;3115;54;30;32;8;34;41
07 2 32;Bitburg-Prüm;71286;57453;2402;55051;28114;18009;0;3224;2551;143;372;76;62;16;57;124;68;139;540;1379;61;21;27;6;23;39
07 2 33;Daun;46315;37215;1183;36032;19710;10533;0;1943;1696;65;284;76;49;12;52;75;38;66;414;924;20;11;10;5;17;32
07 2 35;Trier-Saarburg;99986;82069;2790;79279;35947;29945;0;5424;3007;189;394;130;98;19;49;156;80;193;828;2602;73;26;17;8;37;57
