# (c) Der Bundeswahlleiter, Wiesbaden 2016
# 
# Wahl der Abgeordneten zum 2. Europäischen Parlament aus der Bundesrepublik Deutschland (17. Juni 1984)
# Endgültige Ergebnisse nach kreisfreien Städten und Landkreisen
# 
Kreis-Nr.;Text;Wahlberechtigte;Wähler;Ungültige;Gültige;SPD;CDU;CSU;FDP;GRÜNE;EAP;Zentrum;BP;FRIEDEN;EFP;FRAUEN;NPD;ÖDP;Mündige Bürger
05 7 11;Bielefeld, Stadt;231321;144356;1755;142601;58847;57147;0;6992;15077;112;382;0;2009;177;383;1012;217;246
05 7 54;Gütersloh;209717;126206;1575;124631;38531;65464;0;5670;11253;102;657;0;1358;114;417;708;175;182
05 7 58;Herford;179972;114698;1815;112883;52224;44302;0;4724;8978;87;198;0;890;79;290;753;178;180
05 7 62;Höxter;108972;71565;880;70685;17568;44207;0;2680;4295;67;609;0;457;66;213;296;127;100
05 7 66;Lippe;249209;153586;2099;151487;64551;60236;0;9086;13153;96;377;0;1585;173;445;1159;334;292
05 7 70;Minden-Lübbecke;224241;135204;1826;133378;60911;52151;0;7126;9957;107;215;0;1148;139;422;788;183;231
05 7 74;Paderborn;164594;100298;1088;99210;22051;63479;0;3845;7094;43;832;0;783;109;282;432;140;120
05 9 11;Bochum, Stadt;311366;187496;1569;185927;103586;57362;0;4725;14732;174;489;0;2486;151;481;1162;297;282
05 9 13;Dortmund, Stadt;456846;272539;2499;270040;149480;81010;0;7802;23157;329;611;0;4066;269;723;1935;274;384
05 9 14;Hagen, Stadt;163710;93416;960;92456;43863;34525;0;3494;7640;52;345;0;959;102;244;971;119;142
05 9 15;Hamm, Stadt;128010;76242;907;75335;35256;31426;0;2127;4633;48;282;0;667;65;185;454;89;103
05 9 16;Herne, Stadt;136988;77481;661;76820;45747;22440;0;1504;4882;56;181;0;834;47;185;718;99;127
05 9 54;Ennepe-Ruhr-Kreis;266068;165686;1695;163991;85405;53256;0;6601;13689;117;502;0;2224;189;425;1099;221;263
05 9 58;Hochsauerlandkreis;197568;128777;1519;127258;38329;73767;0;3971;7648;101;882;0;918;113;364;725;249;191
