Land;District;Name;Eligible Voters;Voters;Invalid;Valid;CDU;GRÜNE;SPD;AFD;CSU;DIE LINKE;FDP;Die PARTEI;FREIE WÄHLER;Tierschutzpartei;ÖDP;FAMILIE;VOLT;PIRATEN;MERA25;HEIMAT;TIERSCHUTZ hier!;PARTEI FÜR DIE TIERE;BP;Graue Panther;Die Grauen;Verjüngungsforschung;BIG;Tierschutzallienz;Bündnis C;Die Humanisten;Volksabstimmung;DIE FRAUEN;LKR;BGE;ÖkoLinX;MENSCHLICHE WELT;LIEBE;DIE VIOLETTEN;DIE DIREKTE!;DIE RECHTE;DKP;MLPD;NL;III. Weg;SGP
BW;08125;Heilbronn;242435;155172;3401;151771;46334;28157;21795;19561;0;3863;11632;2558;5561;1863;2321;887;703;885;237;487;462;420;222;215;207;232;462;252;655;213;248;227;205;119;61;117;76;103;81;151;32;60;50;46;11
BW;08126;Hohenlohekreis;82480;51822;857;50965;17051;9913;6562;6074;0;1261;4274;741;1405;576;457;362;173;296;93;180;132;144;84;100;65;78;25;74;266;79;62;76;53;39;31;43;37;37;20;46;11;16;19;6;4
BW;08127;Schwäbisch Hall;143275;86854;1594;85260;26184;18248;11966;9753;0;2472;6406;1448;1863;931;1723;525;366;492;145;190;176;217;119;115;108;133;79;156;412;98;108;151;102;74;46;78;63;81;44;72;17;48;17;25;9
BW;08128;Main-Tauber-Kreis;101414;67155;1544;65611;26034;11369;8635;7056;0;1554;3486;970;1840;680;1035;454;242;358;98;139;173;157;110;82;97;98;37;112;131;63;99;109;76;40;21;47;40;42;27;51;7;8;14;13;7
BW;08135;Heidenheim;93726;54670;1144;53526;18605;10740;8335;5471;0;1570;2477;865;1676;572;740;300;204;321;95;101;123;141;82;73;69;58;39;90;160;57;78;72;56;44;28;34;28;33;21;43;61;27;13;19;5
BW;08136;Ostalbkreis;231322;145645;3025;142620;54654;28068;18996;14234;0;4063;7742;2289;3939;1545;878;749;581;851;243;241;324;288;232;203;133;151;212;206;310;152;193;191;164;127;82;84;79;91;63;98;23;68;32;29;12
BW;08211;Baden-Baden, Stadtkreis;38487;23731;328;23403;7488;6027;2884;2235;0;611;1775;346;570;270;112;92;154;108;97;17;51;47;46;27;21;35;19;33;47;38;40;15;52;23;16;24;15;16;14;16;5;2;8;6;1
BW;08212;Karlsruhe, Stadtkreis;209516;135402;1346;134056;28275;42429;18182;10787;0;6760;8352;5445;1560;1694;1111;362;2982;1305;904;99;262;263;84;156;113;124;171;178;510;484;110;148;212;162;172;98;56;81;72;67;33;128;92;15;18
BW;08215;Karlsruhe;323238;209814;4275;205539;67206;42287;28548;23146;0;5241;12965;4197;6988;3103;1232;1104;1207;1219;443;265;562;636;221;303;259;304;291;337;867;368;291;265;403;178;111;195;134;148;113;184;40;66;56;29;27
BW;08216;Rastatt;167254;103779;2644;101135;33912;20869;13855;11743;0;2455;5779;1625;4104;1448;526;555;551;528;214;137;322;293;121;163;138;148;140;206;145;113;168;154;149;66;42;94;51;63;54;104;21;32;30;10;7
BW;08221;Heidelberg, Stadtkreis;100384;70400;535;69865;13007;25322;10378;4303;0;3789;4298;2305;555;573;613;129;2027;401;644;35;93;89;36;42;36;42;57;65;123;249;41;72;81;72;110;43;26;39;29;12;30;44;41;9;5
BW;08222;Mannheim, Stadtkreis;199916;116585;1484;115101;24961;30064;20939;12287;0;5353;7261;3869;1596;1656;578;421;1204;752;542;216;335;292;112;150;131;123;478;156;172;237;129;149;151;105;118;81;48;77;53;61;68;76;54;32;14
BW;08225;Neckar-Odenwald-Kreis;108354;68991;1675;67316;25669;10523;9902;7940;0;1602;3726;891;2652;807;511;458;278;320;86;176;173;210;86;81;87;114;52;116;166;63;98;90;72;49;25;66;42;43;27;43;15;20;18;14;5
BW;08226;Rhein-Neckar-Kreis;399897;263457;5367;258090;74431;58990;40809;27721;0;7952;16599;5334;8592;3631;1424;1317;1705;1515;605;578;737;699;260;348;346;291;345;433;678;394;330;293;330;192;129;228;136;162;115;147;71;48;89;58;28
BW;08231;Pforzheim, Stadtkreis;75907;40419;793;39626;10662;6984;5517;6995;0;1433;3013;785;874;797;256;237;266;259;124;58;122;130;84;66;48;62;58;61;154;71;76;69;79;37;26;42;29;27;22;48;6;24;13;7;5
